probeName,nodeName,isMissing,degree_in,degree_out,isLeaf,isRoot,isInProbeChain,isAboveProbe,isBelowProbe,isDonorToProbe,isReceiverOfProbe,isDonorAtSomePoint,distanceFromLeaf,distanceFromRoot,dfr_normalized,dfl_normalized,distanceFromProbe_undirected,distanceFromProbe_withChainJumps,chainJumps,minimumPenalty
8b3c9021c7e6dda308cfe7c594dc79e4.json,334994c6b30cd5a71e5d5ec51723a832.jpg,True,0,1,False,True,True,True,False,True,False,True,11,1,0.09090909090909091,1.0,11,0.1,0,0
8b3c9021c7e6dda308cfe7c594dc79e4.json,c7bfc7caabd37509adab0a343a000388.png,True,1,1,False,False,True,True,False,True,False,True,7,2,0.25,0.875,7,0.7,0,1
8b3c9021c7e6dda308cfe7c594dc79e4.json,e0b102d0ca998f8f9ef35ff99af4c4df.jpg,True,0,1,False,True,True,True,False,True,False,True,8,1,0.125,1.0,8,0.7,0,0
8b3c9021c7e6dda308cfe7c594dc79e4.json,4e166d80d64e73a93fa0a58f0e933a26.png,True,1,1,False,False,True,True,False,True,False,True,10,2,0.18181818181818182,0.9090909090909091,10,0.1,0,1
8b3c9021c7e6dda308cfe7c594dc79e4.json,33d65aa775403a19a6580aa99f0b80f7.png,False,1,1,False,False,True,True,False,False,False,False,2,7,0.875,0.25,2,0.7,0,1
8b3c9021c7e6dda308cfe7c594dc79e4.json,254e6df6cfee23ec83a9c02ecd85c29e.png,False,1,1,False,False,True,True,False,False,False,False,3,6,0.75,0.375,3,0.7,0,1
8b3c9021c7e6dda308cfe7c594dc79e4.json,ebc6204ccd19f29e7861316f47a0e05f.png,False,1,1,False,False,True,True,False,False,False,False,7,5,0.45454545454545453,0.6363636363636364,7,0.1,0,1
8b3c9021c7e6dda308cfe7c594dc79e4.json,6779c1fe8a3b71f1b85c87253aab4485.png,False,1,1,False,False,True,True,False,False,False,False,6,6,0.5454545454545454,0.5454545454545454,6,0.1,0,1
8b3c9021c7e6dda308cfe7c594dc79e4.json,c60cc8d4322c6ce2511e1dd928732cdf.png,False,1,1,False,False,True,True,False,False,False,False,15,2,0.125,0.9375,15,0.15,0,1
8b3c9021c7e6dda308cfe7c594dc79e4.json,90405dad8dd872b2d390321ac191bdf3.png,False,2,1,False,False,True,True,False,False,False,False,5,4,0.5,0.625,5,0.7,0,2
8b3c9021c7e6dda308cfe7c594dc79e4.json,a3133fddbc7be27410132ee9c293cd77.png,False,1,1,False,False,True,True,False,False,False,False,13,4,0.25,0.8125,13,0.15,0,1
8b3c9021c7e6dda308cfe7c594dc79e4.json,d027225dea40704d6a845cd7d43d78ed.png,False,1,1,False,False,True,True,False,False,False,False,9,8,0.5,0.5625,9,0.15,0,1
